,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
415,Frame26_Cluster15,13,13000,3,9.75
416,Frame27_Cluster0,856,856000,-24,642.0
417,Frame27_Cluster1,634,634000,9,475.5
418,Frame27_Cluster2,484,484000,-27,363.0
419,Frame27_Cluster3,325,325000,36,243.75
420,Frame27_Cluster4,265,265000,12,198.75
421,Frame27_Cluster5,249,249000,6,186.75
422,Frame27_Cluster6,233,233000,-30,174.75
423,Frame27_Cluster7,214,214000,15,160.5
424,Frame27_Cluster8,159,159000,12,119.25
425,Frame27_Cluster9,105,105000,0,78.75
426,Frame27_Cluster10,79,79000,-15,59.25
427,Frame27_Cluster11,75,75000,-6,56.25
428,Frame27_Cluster12,69,69000,9,51.75
429,Frame27_Cluster13,65,65000,9,48.75
430,Frame27_Cluster14,55,55000,-3,41.25
431,Frame27_Cluster15,13,13000,3,9.75
432,Frame28_Cluster0,856,856000,-24,642.0
433,Frame28_Cluster1,634,634000,9,475.5
434,Frame28_Cluster2,484,484000,-27,363.0
435,Frame28_Cluster3,325,325000,36,243.75
436,Frame28_Cluster4,265,265000,12,198.75
437,Frame28_Cluster5,249,249000,6,186.75
438,Frame28_Cluster6,233,233000,-30,174.75
439,Frame28_Cluster7,214,214000,15,160.5
440,Frame28_Cluster8,159,159000,12,119.25
441,Frame28_Cluster9,105,105000,0,78.75
442,Frame28_Cluster10,79,79000,-15,59.25
443,Frame28_Cluster11,75,75000,-6,56.25
444,Frame28_Cluster12,69,69000,9,51.75
445,Frame28_Cluster13,65,65000,9,48.75
446,Frame28_Cluster14,55,55000,-3,41.25
447,Frame28_Cluster15,13,13000,3,9.75
